"site","Quartzite.and.pelitic.schist","Pelitic.and.quartzitic.schist.of.the.Ruby.terrane","Unconsolidated.surficial.deposits..undivided","Quartz.monzonite..monzonite..and.syenite","Wickersham.and.Neruokpuk.units","Mafic.schist.and.amphibolite","Flysch.and.quartzite..Kandik.Group.and.equivalents","Eclogite.and.associated.rocks","Water","Pelitic.schist..including.Chena.River.sequence","Metagraywacke.and.phyllite","Andesite.and.basalt.flows","Poorly.consolidated.surficial.deposits","Felsic.granitic.rocks","Globe.quartzite.of.Weber.and.others..1992.","Igneous.rocks","Totatlanika.Schist","Mafic.igneous.rocks..central.and.northeast.Alaska","Older.carbonate.strata","Chert.of.Interior.Alaska","Quartz.mica.schist.of.the.Brooks.Range","Keevy.Peak.Formation.and.similar.rocks","Gneiss..schist..and.quartzite","schistTot"
"Stiles",24.28,0,58.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,24.28
"Stuart",0,0,73.12,0,0,0,0,0,0,0,0,0,0,14.27,0,0,0,0,0,0,0,0,0,0
"Tatalina",0,0,47.12,0,0,0,18.96,0,0,0,0,0,0,0,8.52,0,0,0,0,0,0,0,0,0
"Tenderfoot",0,0,85.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tolovana",0,0,7.32,0,0,0,16.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TwelveMileCreek",86.91,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
"Unknown_Mp_76",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"UpperChatanika_Campground",75.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.75
"US_creek",89.2,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.2
"Vault",80.32,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.32
"WA_tribA",51.48,0,48.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.48
"Wafer_Creek",0,0,46.99,0,0,0,18.84,0,0,0,0,0,0,0,0,0,0,28.68,0,0,0,0,0,0
"Washington",19.78,0,58.82,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.78
"West_Fork_Chena",93.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.55
"West_Fork_Tolovana",0,0,0,0,0,0,33.37,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0
"WFkDall",0,98.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.73
"WFkDall_2",0,99.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.85
"Willow",94.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.88
"Wolverine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.94,96.94
